fileName,trnscrpt
Lab41-SRI-VOiCES-rm1-musi-sp5126-ch036956-sg0011-mc07-stu-beh-dg090, a wink from mister lord must have been intended to convey a great deal because owing to the defect in his eyes it required no little exertion and even then could not be considered as a really first class wink
Lab41-SRI-VOiCES-rm1-none-sp3549-ch173591-sg0001-mc03-stu-mid-dg090, but a dull exile in a petty fort by a hot and sickly river with hard labor bad fare prospective famine and nothing to break the weary sameness but some passing canoe or floating alligator gathered in knots
Lab41-SRI-VOiCES-rm2-babb-sp4331-ch057179-sg0024-mc07-stu-beh-dg090, that sir jeffrey had a wife and family she was all smiles and all pleasantness and seemed to want no other happiness than what the present moment gave her nor did she once mention lord rufford's name on the next morning after breakfast her aunt sent for her to come up stairs
Lab41-SRI-VOiCES-rm2-tele-sp0196-ch122152-sg0014-mc01-stu-clo-dg090, stop the engines instead of making a row about it on deck i heard him say get up run fly he swore also the engineer slid down the starboard ladder and bolted round the skylight to the engine room companion
Lab41-SRI-VOiCES-rm2-musi-sp2289-ch152257-sg0025-mc03-stu-mid-dg090, trib o'ni an to collect and simplify the principal laws the collection which he made was called the code of justinian it still exists and is the model according to which most of the countries of europe have made their laws
Lab41-SRI-VOiCES-rm1-tele-sp0196-ch122159-sg0020-mc03-stu-mid-dg090, he pronounced with a convulsive effort whose stress as if propagated by the waves of the air made my body stir a little in the chair he fixed me with lowering eyes don't you believe me he cried i swear
Lab41-SRI-VOiCES-rm1-babb-sp6241-ch061943-sg0008-mc01-stu-clo-dg090, on the eleventh day we sighted cape portland over which towered mount myrdals yokul which the weather being clear we made out very readily
Lab41-SRI-VOiCES-rm1-none-sp4014-ch186179-sg0001-mc07-stu-beh-dg090, it was that same day that the three boys from brighton were for the first time assigned to a regular unit of the signal corps also with a real thrill they learned that they were almost immediately to see war service for american troops were already in the trenches
Lab41-SRI-VOiCES-rm1-babb-sp1536-ch141791-sg0006-mc07-stu-beh-dg090, as soon as londonderry had fallen and it was universally supposed that the fall of londonderry could not be long delayed he might cross the sea with part of his forces and land in scotland where his friends were supposed to be numerous when he was once on british ground and in the midst of british adherents
Lab41-SRI-VOiCES-rm2-tele-sp1874-ch165701-sg0007-mc01-stu-clo-dg090, but also recited doggerel satire of his own concoction punning and emitting sparks of wit lincoln was hailed as the capper of any good things on the rounds even then his friends saw the germs of the statesman in the lank homely crack voiced hobbledehoy
Lab41-SRI-VOiCES-rm1-babb-sp1392-ch128226-sg0016-mc05-stu-far-dg090, they now fancied themselves transported these ungrateful ones but to what did they owe the convulsion and rapture of their transport to their body and this earth gentle is zarathustra to the sickly verily
Lab41-SRI-VOiCES-rm2-babb-sp5456-ch058161-sg0003-mc07-stu-beh-dg090, for love was love and better than money the slyer the theft the sweeter the honey and kissing was clover all the world over wherever cupid might wander so thousands of years have come and gone and still the moon is shining on still hymen's torch is lighted
Lab41-SRI-VOiCES-rm1-none-sp0296-ch129659-sg0033-mc01-stu-clo-dg090, both in a transcendental sense abstraction being made of every difference in that which is given and of the mode in which it is determined logicians formerly termed the universal matter the specific difference of this or that part of the universal form
Lab41-SRI-VOiCES-rm1-babb-sp5456-ch024741-sg0008-mc01-stu-clo-dg090, corollary the mind is able to regard as present external bodies by which the human body has once been affected even though they be no longer in existence or present
Lab41-SRI-VOiCES-rm1-tele-sp0188-ch135249-sg0020-mc07-stu-beh-dg090, her marriage had been happy wealth had not spoiled her she was still the placid amiable pink cheeked jane of the old quartette sympathising with her old chum's happiness and as keenly interested in all the dainty details of anne's trousseau
Lab41-SRI-VOiCES-rm2-babb-sp8051-ch118101-sg0035-mc03-stu-mid-dg090, rather smart black well made and well calculated for a canadian he was prompted to escape purely from the desire to be free he fled from a very insulting man by the name of edward schriner from the neighborhood of sairsville mills
Lab41-SRI-VOiCES-rm1-babb-sp5678-ch043302-sg0036-mc01-stu-clo-dg090, the whole procedure of war was a matter of theory there were no precedents with which to compare it it was as if archers disputed as to the results of cordite only one thing was certain that the east had every modern engine and as regards male population
Lab41-SRI-VOiCES-rm1-babb-sp1246-ch124550-sg0011-mc01-stu-clo-dg090, were the members of the tincomb methodist church a vast red brick tabernacle vida sherwin had given her a letter to an earnest woman with eye glasses plaid silk waist and a belief in bible classes who introduced her to the pastor and the
Lab41-SRI-VOiCES-rm1-babb-sp5635-ch053458-sg0002-mc01-stu-clo-dg090, yet life had become as tedious to him now as it might be to one who was unable to gratify a single wish finally by chance popopo thought of the earth people who dwell in cities and so he resolved to visit them and see how they lived this would surely be fine amusement
Lab41-SRI-VOiCES-rm2-babb-sp8118-ch268287-sg0020-mc07-stu-beh-dg090, will no depth of grief no length of time no visitation from him who is over us all ever bend your adamant and implacable will i heard with some surprise his allusion to the great being whom he was not wont to recognise
